4990;12;
4991;952;Daddy Yankee
4992;321;
4993;326;
4994;959;
4995;959;
4996;1206;
4997;255;
4998;1724;Aloe Black
4999;1255;
5000;767;
5001;1222;
5002;1437;
5003;326;
5004;959;
5005;1395;
5006;959;
5007;1206;
5008;255;
5009;1255;
5010;960;
5011;767;
5012;574;
5013;692;
5014;342;
5015;586;
5016;584;
5017;734;
5018;629;
5019;643;
5020;669;
5021;657;
5022;767;
5023;684;
5024;1756;
5025;326;
5026;1303;
5027;326;
5028;277;Janelle Monáe
5029;1255;
5030;836;
5031;1314;
5032;367;
5033;939;
5034;153;
5035;1255;
5036;516;
5037;959;
5038;497;
5039;1454;
5040;977;Jay-Z
5041;1388;
5042;470;
5043;1287;
5044;1434;
5045;1468;
5046;404;
5047;1894;
5048;1239;
5049;937;
5050;904;
5051;960;
5052;560;
5053;366;
5054;1218;
5055;8;
5056;1747;
5056;1849;
5057;1866;
5058;252;
5059;244;
5060;1217;
5061;1318;
5062;86;
5063;1111;
5064;1396;
5065;88;
5066;821;
5067;1341;
5068;1787;
5069;1535;
5070;128;
5071;1395;
5072;904;
5073;491;
5074;82;
5075;1868;
5076;12;
5077;937;
5078;115;
5079;1388;
5080;1320;
5081;1339;
5082;1798;Lauren Bennett
5083;943;
5084;513;
5085;1056;
5086;1325;
5087;1274;
5088;280;
5089;1114;
5090;1858;
5091;1305;
5092;1754;
5093;937;Snoop Dogg
5094;1742;
5095;20;
5096;470;
5097;1302;Rob Thomas
5098;1498;L.V.
5099;959;
5100;1388;
5101;840;
5102;1779;
5103;501;
5104;\N;
5105;959;
5106;800;
5107;1858;
5108;1453;
5109;1720;
5110;30;
5111;2026;
5112;792;
5113;735;
5114;1325;
5115;14;
5116;1305;
5117;1716;
5118;14;
5119;344;
5120;1629;
5121;1258;
5122;1226;
5123;229;
5124;1126;
5125;1239;
5126;1998;Taylor Swift
5127;1388;
5128;75;
5129;143;
5130;904;
5131;1164;
5132;986;
5133;43;
5134;88;
5135;1706;
5136;1210;
5137;86;
5138;124;
5139;1260;
5140;650;
5141;1756;
5142;155;
5143;950;
5144;583;
5145;1218;
5146;1400;
5147;2026;
5148;352;
5149;1346;
5150;923;
5151;1388;
5152;155;
5153;800;
5154;1159;
5155;1159;
5156;121;
5157;940;
5158;1211;
5159;1756;
5160;1775;
5161;1410;
5162;928;
5163;1184;
5164;80;
5165;1537;
5166;52;Kimbra
5167;993;
5168;1348;
5169;1433;
5170;1164;
5171;943;
5172;1775;
5173;368;
5174;19;
5175;2026;
5176;1433;
5177;957;
5178;14;
5179;1292;David Bowie
5180;1766;
5181;263;
5182;516;
5183;263;
5184;23;
5185;706;
5186;280;
5187;1756;
5188;26;
5189;735;
5189;848;
5190;1388;
5191;1218;
5192;50;
5193;1159;
5194;143;
5195;937;Juicy J
5196;115;
5197;154;
5198;1479;
5199;1545;
5200;143;
5201;1320;
5202;1292;
5203;1219;
5204;1356;
5205;326;
5206;1267;
5207;1292;
5208;1749;
5209;952;Daddy Yankee
5209;37;
5210;88;
5211;1709;
5212;1305;
5213;86;
5214;14;
5215;1456;
5216;1399;
5217;1215;
5218;1287;
5219;80;
5220;1779;
5221;326;
5222;1500;
5223;\N;
5224;1467;
5225;2058;
5226;150;
5227;807;
5228;134;
5229;1709;
5230;50;
5231;1597;
5232;274;
5233;462;
5234;1752;Sia
5235;969;
5236;972;
5237;1267;
5238;1285;
5239;88;
5240;1454;
5241;959;
5242;1288;
5243;923;
5244;1274;
5245;470;
5246;453;
5247;1436;
5248;2066;
5249;280;
5250;1123;
5251;108;
5252;1457;
5253;1286;
5254;1410;
5255;1102;
5256;380;
5257;60;
5258;677;
5259;2035;
5260;1334;
5261;464;
5262;1434;
5263;1325;
5264;14;
5265;119;
5266;977;
5267;1325;
5268;453;
5269;899;
5270;464;
5271;770;
5272;108;
5273;963;
5274;1433;
5275;2040;
5276;454;
5277;828;
5278;464;
5279;959;
5280;52;Kimbra
5281;992;
5282;454;
5283;1103;
5284;1218;
5285;853;
5286;977;Jay-Z
5287;1239;
5288;818;
5289;1239;
5290;1193;
5291;108;
5292;108;
5293;159;
5294;943;Colby O'Donis
5295;\N;
5296;977;Jay-Z
5297;\N;
5298;994;
5299;143;
5300;1350;
5301;959;
5302;1858;
5303;\N;
5304;108;
5305;1238;
5306;1638;
5307;560;
5308;1932;
5309;1775;
5310;1709;
5311;60;
5312;1771;
5313;492;
5314;957;
5315;726;
5316;987;
5317;1251;
5318;883;
5319;448;
5320;\N;
5321;\N;
5322;715;
5323;190;
5324;222;
5325;172;
5326;1373;
5327;905;
5328;1373;
5329;1825;
5330;222;
5331;912;
5332;1067;
